INFO:__main__:BIC score of pruned graph: -966992.9256226101
INFO:__main__:The longest length of causal chain is: 1
INFO:__main__:The longest chain is: ['target_cve_score', 'target_cve_num']
INFO:__main__:The causal score computed from connections is: -4200755.94729463852024-11-14 12:00:34,000 - __main__ - INFO - BIC score of pruned graph: -144.11312278670005
2024-11-14 12:00:34,001 - __main__ - INFO - The longest length of causal chain is: 1
2024-11-14 12:00:34,001 - __main__ - INFO - The longest chain is: ['node_cve_exists', 'node_cve_score']
2024-11-14 12:00:34,002 - __main__ - INFO - The causal score computed from connections is: -83.73222625898417
2024-11-14 13:44:03,016 - __main__ - INFO - BIC score of pruned graph: 0
2024-11-14 13:44:03,016 - __main__ - INFO - The longest length of causal chain is: 0
2024-11-14 13:44:03,017 - __main__ - INFO - The longest chain is: None
2024-11-14 13:44:03,017 - __main__ - INFO - The causal score computed from connections is: -83.73222625898417
2024-11-14 13:51:46,809 - __main__ - INFO - BIC score of pruned graph: 0
2024-11-14 13:51:46,810 - __main__ - INFO - The longest length of causal chain is: 0
2024-11-14 13:51:46,810 - __main__ - INFO - The longest chain is: None
2024-11-14 13:51:46,810 - __main__ - INFO - The causal score computed from connections is: -83.73222625898417
2024-11-14 17:17:02,337 - __main__ - INFO - BIC score of pruned graph: 0
2024-11-14 17:17:02,337 - __main__ - INFO - The longest length of causal chain is: 0
2024-11-14 17:17:02,337 - __main__ - INFO - The longest chain is: None
2024-11-14 17:17:02,338 - __main__ - INFO - The causal score computed from connections is: -83.73222625898417
