2024-11-04 19:51:25,058 - __main__ - INFO - Parsing nodes and edges from GraphML.
2024-11-04 19:52:50,602 - __main__ - INFO - Parsing nodes and edges from GraphML.
2024-11-04 19:52:50,602 - __main__ - INFO - Time spent for node loading from graphml is: 0:00:00.000010
2024-11-04 19:54:25,578 - __main__ - INFO - Parsing nodes and edges from GraphML.
2024-11-04 19:54:25,578 - __main__ - INFO - Time spent for node loading from graphml is: 0:00:00.000007
2024-11-04 19:55:16,174 - __main__ - INFO - Parsing nodes and edges from GraphML.
2024-11-04 19:55:16,174 - __main__ - INFO - Time spent for node loading from graphml is: 0:00:00.000007
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.1 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.2 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.3 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.4 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.5 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.6 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.7 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.8 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - Proportion: 0.9 | Top 10 Nodes: [('n1', 42.0), ('n5', 40.0), ('n2', 26.0), ('n10', 18.0), ('n8', 16.0), ('n3', 10.0), ('n4', 0), ('n6', 0), ('n7', 0), ('n9', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - the top 10 node ids with highest betweenness centrality when the prop is 0.1 are: [('com.example:core-utils', 42.0), ('io.module:analytics-core', 40.0), ('org.sample:logging-lib', 26.0), ('com.example.new:auth-lib', 18.0), ('com.example.module:parser', 16.0), ('com.app.feature:networking', 10.0), ('org.package:ui-components', 0), ('com.system.library:security', 0), ('org.framework:database', 0), ('org.utility:config', 0)]
2024-11-04 19:55:16,178 - __main__ - INFO - the top 10 node ids with highest betweenness centrality when the prop is 0.2 are: [('com.example:core-utils', 42.0), ('io.module:analytics-core', 40.0), ('org.sample:logging-lib', 26.0), ('com.example.new:auth-lib', 18.0), ('com.example.module:parser', 16.0), ('com.app.feature:networking', 10.0), ('org.package:ui-components', 0), ('com.system.library:security', 0), ('org.framework:database', 0), ('org.utility:config', 0)]
